200,2,1,1,0,1,10,0,0,NaN,NaN,10,1.591648578643799,-1,-1
200,2,1,2,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,3,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,4,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,5,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,6,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,7,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,8,0,1,10,0,0,NaN,NaN,10,1.401420831680298,-1,-1
200,2,1,9,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,10,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,11,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,12,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,13,0,1,10,0,0,NaN,NaN,10,1.431895732879639,-1,-1
200,2,1,14,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,15,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,16,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,17,0,1,10,0,0,NaN,NaN,10,1.45089054107666,-1,-1
200,2,1,18,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,19,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,20,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,21,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,22,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,23,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,24,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,25,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,26,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,27,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,28,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,29,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,30,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,31,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,32,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,33,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,34,0,1,10,0,0,NaN,NaN,10,1.608451843261719,-1,-1
200,2,1,35,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,36,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,37,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,38,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,39,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,40,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,41,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,42,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,43,0,1,8,0,0,NaN,NaN,8,1.572326898574829,-1,-1
200,2,1,44,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,45,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,46,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,47,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,48,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,49,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,50,0,1,9,0,0,NaN,NaN,9,1.298413038253784,-1,-1
200,2,1,51,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,52,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,53,0,1,8,0,0,NaN,NaN,8,1.411121129989624,-1,-1
200,2,1,54,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,55,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,56,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,57,0,1,10,0,0,NaN,NaN,10,1.278361320495605,-1,-1
200,2,1,58,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,59,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,60,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,61,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,62,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,63,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,64,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,65,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,66,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,67,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,68,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,69,0,1,7,0,0,NaN,NaN,7,1.525449991226196,-1,-1
200,2,1,70,0,1,8,0,0,NaN,NaN,8,1.361023902893066,-1,-1
200,2,1,71,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,72,0,1,9,0,0,NaN,NaN,9,1.253386735916138,-1,-1
200,2,1,73,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,74,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,75,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,76,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,77,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,78,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,79,0,1,9,0,0,NaN,NaN,9,1.498121976852417,-1,-1
200,2,1,80,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,81,0,1,7,0,0,NaN,NaN,7,1.4546058177948,-1,-1
200,2,1,82,0,1,10,0,0,NaN,NaN,10,1.465487718582153,-1,-1
200,2,1,83,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,84,0,1,10,0,0,NaN,NaN,10,1.362588882446289,-1,-1
200,2,1,85,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,86,0,1,10,0,0,NaN,NaN,10,1.265724658966064,-1,-1
200,2,1,87,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,88,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,89,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,90,0,1,10,0,0,NaN,NaN,10,1.342077016830444,-1,-1
200,2,1,91,0,1,7,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,92,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,93,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,94,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,95,0,1,10,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,96,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,97,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,98,0,1,9,0,0,NaN,NaN,-1,-1,-1,-1
200,2,1,99,0,1,10,0,0,NaN,NaN,10,1.605911016464233,-1,-1
200,2,1,100,0,1,8,0,0,NaN,NaN,-1,-1,-1,-1
